DateTime,Time Offset,SEM ID,ECG heart rate,HR Confidence,Belt Breathing rate,Breathing rate confidence,Lead off,Belt off,Skin temperature (IR),Body position,Ambulation,PWI,Event Count
8/12/2013 06:47:16.453,1279,01312035 EQ-02,8,85,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 06:47:31.453,1294,01312035 EQ-02,0,85,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 06:47:46.453,1309,01312035 EQ-02,2,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:48:01.453,1324,01312035 EQ-02,4,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:48:16.453,1339,01312035 EQ-02,2,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:48:31.453,1354,01312035 EQ-02,4,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:48:46.453,1369,01312035 EQ-02,6,77,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:49:01.453,1384,01312035 EQ-02,2,97,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:49:16.453,1399,01312035 EQ-02,0,94,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:49:31.453,1414,01312035 EQ-02,0,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:49:46.453,1429,01312035 EQ-02,0,100,0,90,1,1,20.6,Prone,Stationary,Blue,0,
8/12/2013 06:50:01.453,1444,01312035 EQ-02,0,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:50:16.453,1459,01312035 EQ-02,0,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:50:31.453,1474,01312035 EQ-02,0,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:50:46.453,1489,01312035 EQ-02,0,100,0,90,1,1,20.6,Prone,Stationary,Blue,0,
8/12/2013 06:51:01.453,1504,01312035 EQ-02,0,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:51:16.453,1519,01312035 EQ-02,0,100,0,90,1,1,20.6,Prone,Stationary,Blue,0,
8/12/2013 06:51:31.453,1534,01312035 EQ-02,0,100,0,90,1,1,20.6,Prone,Stationary,Blue,0,
8/12/2013 06:51:46.453,1549,01312035 EQ-02,0,100,0,90,1,1,20.6,Prone,Stationary,Blue,0,
8/12/2013 06:52:01.453,1564,01312035 EQ-02,0,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:52:16.453,1579,01312035 EQ-02,0,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 06:52:31.453,1594,01312035 EQ-02,0,100,0,90,1,1,20.6,Prone,Stationary,Blue,0,
